2020-06-11 11:22:16.033  INFO 9484 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$9c58f018] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-06-11 11:22:16.788  INFO 9484 --- [main] com.jit.authority.AuthorityApplication   : The following profiles are active: test
2020-06-11 11:22:22.013  INFO 9484 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Multiple Spring Data modules found, entering strict repository configuration mode!
2020-06-11 11:22:22.017  INFO 9484 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data repositories in DEFAULT mode.
2020-06-11 11:22:22.125  INFO 9484 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 45ms. Found 0 repository interfaces.
2020-06-11 11:22:23.303  INFO 9484 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=bf8ff193-4cff-337e-aa50-28705cf5d373
2020-06-11 11:22:23.541  INFO 9484 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'redisConfig' of type [com.jit.authority.config.RedisConfig$$EnhancerBySpringCGLIB$$8fc0d222] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-06-11 11:22:23.958  INFO 9484 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$803eed1b] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-06-11 11:22:24.080  INFO 9484 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$9c58f018] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-06-11 11:22:24.771  INFO 9484 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 443 (https)
2020-06-11 11:22:24.823  INFO 9484 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-06-11 11:22:24.823  INFO 9484 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.21]
2020-06-11 11:22:25.159  INFO 9484 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-06-11 11:22:25.159  INFO 9484 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 8291 ms
2020-06-11 11:22:25.358  INFO 9484 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-06-11 11:22:25.386  INFO 9484 --- [main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@7a358613
2020-06-11 11:22:35.694  INFO 9484 --- [main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 2 endpoint(s) beneath base path '/actuator'
2020-06-11 11:22:35.875  INFO 9484 --- [main] pertySourcedRequestMappingHandlerMapping : Mapped URL path [/v2/api-docs] onto method [public org.springframework.http.ResponseEntity<springfox.documentation.spring.web.json.Json> springfox.documentation.swagger2.web.Swagger2Controller.getDocumentation(java.lang.String,javax.servlet.http.HttpServletRequest)]
2020-06-11 11:22:36.190  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/**/*.gif'], []
2020-06-11 11:22:36.190  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/**/*.png'], []
2020-06-11 11:22:36.190  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/**/*.jpg'], []
2020-06-11 11:22:36.191  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/**/*.html'], []
2020-06-11 11:22:36.191  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/**/*.js'], []
2020-06-11 11:22:36.191  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/**/*.css'], []
2020-06-11 11:22:36.191  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/**/*.ico'], []
2020-06-11 11:22:36.191  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/webjars/**'], []
2020-06-11 11:22:36.191  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/swagger-ui.html*/**'], []
2020-06-11 11:22:36.191  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/**/swagger-ui.html*/**'], []
2020-06-11 11:22:36.191  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Ant [pattern='/ac-service/swagger-ui.html*/**'], []
2020-06-11 11:22:36.191  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Mvc [pattern='/configuration/security'], []
2020-06-11 11:22:36.191  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Mvc [pattern='/swagger-resources/**'], []
2020-06-11 11:22:36.191  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Mvc [pattern='/v2/api-docs'], []
2020-06-11 11:22:36.191  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Mvc [pattern='/swagger-resources'], []
2020-06-11 11:22:36.191  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Mvc [pattern='/swagger-ui.html'], []
2020-06-11 11:22:36.191  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Mvc [pattern='/ac-service/swagger-ui.html'], []
2020-06-11 11:22:36.192  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Mvc [pattern='/springfox-swagger-ui/*.js'], []
2020-06-11 11:22:36.192  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Mvc [pattern='/**/configuration/security'], []
2020-06-11 11:22:36.192  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Mvc [pattern='/**/swagger-resources/**'], []
2020-06-11 11:22:36.192  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Mvc [pattern='/**/v2/api-docs'], []
2020-06-11 11:22:36.192  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Mvc [pattern='/**/swagger-resources'], []
2020-06-11 11:22:36.192  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Mvc [pattern='/**/swagger-ui.html'], []
2020-06-11 11:22:36.192  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Mvc [pattern='/**/ac-service/swagger-ui.html'], []
2020-06-11 11:22:36.192  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: Mvc [pattern='/**/springfox-swagger-ui/*.js'], []
2020-06-11 11:22:36.342  INFO 9484 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1859e55c, org.springframework.security.web.context.SecurityContextPersistenceFilter@776e7dfb, org.springframework.security.web.header.HeaderWriterFilter@6edb1e9c, org.springframework.security.web.authentication.logout.LogoutFilter@6ab1f85b, com.jit.authority.jwtsecurity.filter.JwtAuthenticationFilter@190bf8e4, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@67ecf7ed, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2cdcfaa6, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7a8b7e11, org.springframework.security.web.session.SessionManagementFilter@6badb08c, org.springframework.security.web.access.ExceptionTranslationFilter@6dd2e453, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3f6906f4]
2020-06-11 11:22:36.383  INFO 9484 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-06-11 11:22:36.951  INFO 9484 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-06-11 11:22:42.948  INFO 9484 --- [main] o.s.s.c.ThreadPoolTaskScheduler          : Initializing ExecutorService 'taskScheduler'
2020-06-11 11:22:46.536  INFO 9484 --- [main] o.s.c.n.zuul.ZuulFilterInitializer       : Starting filter initializer
2020-06-11 11:22:46.839  INFO 9484 --- [main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2020-06-11 11:22:47.075  INFO 9484 --- [main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2020-06-11 11:22:48.167  INFO 9484 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON encoding codec LegacyJacksonJson
2020-06-11 11:22:48.167  INFO 9484 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON decoding codec LegacyJacksonJson
2020-06-11 11:22:48.993  INFO 9484 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML encoding codec XStreamXml
2020-06-11 11:22:48.994  INFO 9484 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML decoding codec XStreamXml
2020-06-11 11:22:49.482  INFO 9484 --- [main] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-06-11 11:22:49.630  INFO 9484 --- [main] com.netflix.discovery.DiscoveryClient    : Disable delta property : false
2020-06-11 11:22:49.631  INFO 9484 --- [main] com.netflix.discovery.DiscoveryClient    : Single vip registry refresh property : null
2020-06-11 11:22:49.631  INFO 9484 --- [main] com.netflix.discovery.DiscoveryClient    : Force full registry fetch : false
2020-06-11 11:22:49.631  INFO 9484 --- [main] com.netflix.discovery.DiscoveryClient    : Application is null : false
2020-06-11 11:22:49.631  INFO 9484 --- [main] com.netflix.discovery.DiscoveryClient    : Registered Applications size is zero : true
2020-06-11 11:22:49.631  INFO 9484 --- [main] com.netflix.discovery.DiscoveryClient    : Application version is -1: true
2020-06-11 11:22:49.631  INFO 9484 --- [main] com.netflix.discovery.DiscoveryClient    : Getting all instance registry info from the eureka server
2020-06-11 11:22:49.952  INFO 9484 --- [main] com.netflix.discovery.DiscoveryClient    : The response status is 200
2020-06-11 11:22:49.955  INFO 9484 --- [main] com.netflix.discovery.DiscoveryClient    : Starting heartbeat executor: renew interval is: 30
2020-06-11 11:22:49.958  INFO 9484 --- [main] c.n.discovery.InstanceInfoReplicator     : InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-06-11 11:22:49.981  INFO 9484 --- [main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1591845769960 with initial instances count: 7
2020-06-11 11:22:49.985  INFO 9484 --- [main] o.s.c.n.e.s.EurekaServiceRegistry        : Registering application AUTH-SERVICE with eureka with status UP
2020-06-11 11:22:49.985  INFO 9484 --- [main] com.netflix.discovery.DiscoveryClient    : Saw local status change event StatusChangeEvent [timestamp=1591845769985, current=UP, previous=STARTING]
2020-06-11 11:22:49.987  INFO 9484 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_AUTH-SERVICE/dell-PC:auth-service:443: registering service...
2020-06-11 11:22:50.000  INFO 9484 --- [main] d.s.w.p.DocumentationPluginsBootstrapper : Context refreshed
2020-06-11 11:22:50.055  INFO 9484 --- [main] d.s.w.p.DocumentationPluginsBootstrapper : Found 1 custom documentation plugin(s)
2020-06-11 11:22:50.073  INFO 9484 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_AUTH-SERVICE/dell-PC:auth-service:443 - registration status: 204
2020-06-11 11:22:50.151  INFO 9484 --- [main] s.d.s.w.s.ApiListingReferenceScanner     : Scanning for api listing references
2020-06-11 11:22:50.962  INFO 9484 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 443 (https) with context path ''
2020-06-11 11:22:50.964  INFO 9484 --- [main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 443
2020-06-11 11:22:50.967  INFO 9484 --- [main] com.jit.authority.AuthorityApplication   : Started AuthorityApplication in 45.881 seconds (JVM running for 49.786)
2020-06-11 11:22:51.010  INFO 9484 --- [main] com.jit.authority.AuthorityApplication   : authority application is running.........
2020-06-11 11:22:51.556  INFO 9484 --- [RMI TCP Connection(3)-192.168.100.96] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-06-11 11:22:51.557  INFO 9484 --- [RMI TCP Connection(3)-192.168.100.96] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2020-06-11 11:22:51.610  INFO 9484 --- [RMI TCP Connection(3)-192.168.100.96] o.s.web.servlet.DispatcherServlet        : Completed initialization in 53 ms
2020-06-11 11:22:52.583  INFO 9484 --- [parallel-1] io.lettuce.core.EpollProvider            : Starting without optional epoll library
2020-06-11 11:22:52.584  INFO 9484 --- [parallel-1] io.lettuce.core.KqueueProvider           : Starting without optional kqueue library
2020-06-11 11:26:10.493  INFO 9484 --- [https-jsse-nio-443-exec-8] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /swagger-ui.html
2020-06-11 11:26:10.881  INFO 9484 --- [https-jsse-nio-443-exec-8] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-11 11:26:11.141  INFO 9484 --- [https-jsse-nio-443-exec-9] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /webjars/springfox-swagger-ui/springfox.css?v=2.8.0-SNAPSHOT
2020-06-11 11:26:11.141  INFO 9484 --- [https-jsse-nio-443-exec-9] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-11 11:26:12.581  INFO 9484 --- [https-jsse-nio-443-exec-10] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /webjars/springfox-swagger-ui/swagger-ui.css?v=2.8.0-SNAPSHOT
2020-06-11 11:26:12.582  INFO 9484 --- [https-jsse-nio-443-exec-10] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-11 11:26:14.034  INFO 9484 --- [https-jsse-nio-443-exec-3] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /webjars/springfox-swagger-ui/swagger-ui-bundle.js?v=2.8.0-SNAPSHOT
2020-06-11 11:26:14.035  INFO 9484 --- [https-jsse-nio-443-exec-3] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-11 11:26:14.053  INFO 9484 --- [https-jsse-nio-443-exec-8] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /webjars/springfox-swagger-ui/swagger-ui-standalone-preset.js?v=2.8.0-SNAPSHOT
2020-06-11 11:26:14.053  INFO 9484 --- [https-jsse-nio-443-exec-8] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-11 11:26:14.091  INFO 9484 --- [https-jsse-nio-443-exec-5] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /webjars/springfox-swagger-ui/springfox.js?v=2.8.0-SNAPSHOT
2020-06-11 11:26:14.092  INFO 9484 --- [https-jsse-nio-443-exec-5] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-11 11:26:15.599  INFO 9484 --- [https-jsse-nio-443-exec-10] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /swagger-resources/configuration/ui
2020-06-11 11:26:15.599  INFO 9484 --- [https-jsse-nio-443-exec-10] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-11 11:26:15.794  INFO 9484 --- [https-jsse-nio-443-exec-4] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /swagger-resources/configuration/security
2020-06-11 11:26:15.794  INFO 9484 --- [https-jsse-nio-443-exec-4] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-11 11:26:15.846  INFO 9484 --- [https-jsse-nio-443-exec-6] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /swagger-resources
2020-06-11 11:26:15.846  INFO 9484 --- [https-jsse-nio-443-exec-6] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-11 11:26:15.972  INFO 9484 --- [https-jsse-nio-443-exec-9] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /v2/api-docs
2020-06-11 11:26:15.973  INFO 9484 --- [https-jsse-nio-443-exec-9] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-11 11:26:16.864  INFO 9484 --- [https-jsse-nio-443-exec-7] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /webjars/springfox-swagger-ui/fonts/titillium-web-v6-latin-700.woff2
2020-06-11 11:26:16.865  INFO 9484 --- [https-jsse-nio-443-exec-7] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-11 11:26:16.878  INFO 9484 --- [https-jsse-nio-443-exec-2] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /webjars/springfox-swagger-ui/fonts/open-sans-v15-latin-regular.woff2
2020-06-11 11:26:16.878  INFO 9484 --- [https-jsse-nio-443-exec-2] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-11 11:26:17.410  INFO 9484 --- [https-jsse-nio-443-exec-1] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /webjars/springfox-swagger-ui/fonts/open-sans-v15-latin-700.woff2
2020-06-11 11:26:17.411  INFO 9484 --- [https-jsse-nio-443-exec-1] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-11 11:26:17.413  INFO 9484 --- [https-jsse-nio-443-exec-5] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /webjars/springfox-swagger-ui/fonts/source-code-pro-v7-latin-300.woff2
2020-06-11 11:26:17.413  INFO 9484 --- [https-jsse-nio-443-exec-5] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-11 11:26:20.892  INFO 9484 --- [https-jsse-nio-443-exec-1] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /webjars/springfox-swagger-ui/fonts/source-code-pro-v7-latin-600.woff2
2020-06-11 11:26:20.892  INFO 9484 --- [https-jsse-nio-443-exec-1] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-11 11:26:46.983  INFO 9484 --- [https-jsse-nio-443-exec-1] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /ac-service/swagger-ui.html
2020-06-11 11:26:46.984  INFO 9484 --- [https-jsse-nio-443-exec-1] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-11 11:26:49.788  INFO 9484 --- [https-jsse-nio-443-exec-1] c.netflix.config.ChainedDynamicProperty  : Flipping property: micro-aquaculture.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
2020-06-11 11:26:49.827  INFO 9484 --- [https-jsse-nio-443-exec-1] c.n.u.concurrent.ShutdownEnabledTimer    : Shutdown hook installed for: NFLoadBalancer-PingTimer-micro-aquaculture
2020-06-11 11:26:49.828  INFO 9484 --- [https-jsse-nio-443-exec-1] c.netflix.loadbalancer.BaseLoadBalancer  : Client: micro-aquaculture instantiated a LoadBalancer: DynamicServerListLoadBalancer:{NFLoadBalancer:name=micro-aquaculture,current list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:null
2020-06-11 11:26:49.849  INFO 9484 --- [https-jsse-nio-443-exec-1] c.n.l.DynamicServerListLoadBalancer      : Using serverListUpdater PollingServerListUpdater
2020-06-11 11:26:49.900  INFO 9484 --- [https-jsse-nio-443-exec-1] c.netflix.config.ChainedDynamicProperty  : Flipping property: micro-aquaculture.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
2020-06-11 11:26:49.902  INFO 9484 --- [https-jsse-nio-443-exec-1] c.n.l.DynamicServerListLoadBalancer      : DynamicServerListLoadBalancer for client micro-aquaculture initialized: DynamicServerListLoadBalancer:{NFLoadBalancer:name=micro-aquaculture,current list of Servers=[dell-PC:8084],Load balancer stats=Zone stats: {defaultzone=[Zone:defaultzone;	Instance count:1;	Active connections count: 0;	Circuit breaker tripped count: 0;	Active connections per server: 0.0;]
},Server stats: [[Server:dell-PC:8084;	Zone:defaultZone;	Total Requests:0;	Successive connection failure:0;	Total blackout seconds:0;	Last connection made:Thu Jan 01 08:00:00 CST 1970;	First connection made: Thu Jan 01 08:00:00 CST 1970;	Active Connections:0;	total failure count in last (1000) msecs:0;	average resp time:0.0;	90 percentile resp time:0.0;	95 percentile resp time:0.0;	min resp time:0.0;	max resp time:0.0;	stddev resp time:0.0]
]}ServerList:org.springframework.cloud.netflix.ribbon.eureka.DomainExtractingServerList@297f3901
2020-06-11 11:26:50.853  INFO 9484 --- [PollingServerListUpdater-0] c.netflix.config.ChainedDynamicProperty  : Flipping property: micro-aquaculture.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
2020-06-11 11:26:54.000  INFO 9484 --- [https-jsse-nio-443-exec-3] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /ac-service/webjars/springfox-swagger-ui/springfox.css?v=2.8.0-SNAPSHOT
2020-06-11 11:26:54.001  INFO 9484 --- [https-jsse-nio-443-exec-3] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-11 11:26:54.239  INFO 9484 --- [https-jsse-nio-443-exec-2] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /ac-service/webjars/springfox-swagger-ui/springfox.js?v=2.8.0-SNAPSHOT
2020-06-11 11:26:54.239  INFO 9484 --- [https-jsse-nio-443-exec-2] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
2020-06-11 11:26:54.377  INFO 9484 --- [https-jsse-nio-443-exec-5] c.j.a.rbac.MyFilterSecurityInterceptor   : fi in MyFilterSecurityInterceptor FilterInvocation: URL: /ac-service/webjars/springfox-swagger-ui/swagger-ui.css?v=2.8.0-SNAPSHOT
2020-06-11 11:26:54.377  INFO 9484 --- [https-jsse-nio-443-exec-5] c.j.a.rbac.MyFilterSecurityInterceptor   : token in MyFilterSecurityInterceptor null
